1,1,1,
1,1.026,0.998333,
1.00026,1.05198,0.996697,
1.00078,1.07793,0.995091,
1.00155,1.10388,0.993517,
1.00257,1.12983,0.991973,
1.00384,1.15577,0.99046,
1.00536,1.18173,0.988979,
1.00713,1.20771,0.98753,
1.00913,1.2337,0.986113,
1.01138,1.25973,0.984728,
1.01386,1.28579,0.983377,
1.01658,1.3119,0.982058,
1.01953,1.33805,0.980773,
1.02272,1.36426,0.979521,
1.02614,1.39053,0.978305,
1.02978,1.41687,0.977123,
1.03365,1.44328,0.975976,
1.03775,1.46977,0.974865,
1.04207,1.49635,0.973791,
1.04661,1.52301,0.972753,
1.05137,1.54978,0.971753,
1.05636,1.57664,0.970791,
1.06156,1.60362,0.969868,
1.06698,1.63071,0.968984,
1.07262,1.65792,0.96814,
1.07847,1.68526,0.967337,
1.08454,1.71273,0.966575,
1.09082,1.74033,0.965855,
1.09732,1.76808,0.965177,
1.10402,1.79598,0.964544,
1.11094,1.82403,0.963955,
1.11807,1.85224,0.96341,
1.12542,1.88062,0.962912,
1.13297,1.90917,0.962461,
1.14073,1.93789,0.962057,
1.1487,1.96679,0.961703,
1.15688,1.99589,0.961397,
1.16527,2.02517,0.961143,
1.17387,2.05465,0.960939,
1.18268,2.08434,0.960789,
1.1917,2.11423,0.960692,
1.20092,2.14434,0.960649,
1.21036,2.17467,0.960663,
1.22,2.20522,0.960733,
1.22985,2.23601,0.960862,
1.23991,2.26702,0.961049,
1.25018,2.29828,0.961297,
1.26066,2.32979,0.961607,
1.27136,2.36154,0.96198,
1.28226,2.39356,0.962417,
1.29337,2.42583,0.96292,
1.3047,2.45838,0.963489,
1.31623,2.49119,0.964128,
1.32798,2.52429,0.964836,
1.33995,2.55766,0.965615,
1.35212,2.59133,0.966467,
1.36451,2.62529,0.967394,
1.37712,2.65955,0.968396,
1.38995,2.69412,0.969476,
1.40299,2.729,0.970636,
1.41625,2.76419,0.971876,
1.42973,2.7997,0.973199,
1.44343,2.83555,0.974607,
1.45735,2.87172,0.976101,
1.47149,2.90823,0.977683,
1.48586,2.94509,0.979355,
1.50045,2.98229,0.98112,
1.51527,3.01985,0.982978,
1.53032,3.05777,0.984933,
1.54559,3.09605,0.986986,
1.5611,3.1347,0.989139,
1.57683,3.17374,0.991395,
1.5928,3.21315,0.993755,
1.609,3.25295,0.996223,
1.62544,3.29315,0.998801,
1.64212,3.33375,1.00149,
1.65904,3.37475,1.00429,
1.67619,3.41616,1.00721,
1.69359,3.45799,1.01025,
1.71124,3.50024,1.01342,
1.72913,3.54292,1.0167,
1.74727,3.58603,1.02012,
1.76565,3.62959,1.02366,
1.78429,3.67359,1.02734,
1.80319,3.71804,1.03116,
1.82233,3.76296,1.03511,
1.84174,3.80833,1.03921,
1.86141,3.85418,1.04345,
1.88133,3.9005,1.04784,
1.90153,3.94731,1.05239,
1.92198,3.9946,1.05709,
1.94271,4.04239,1.06195,
1.96371,4.09068,1.06697,
1.98498,4.13948,1.07216,
2.00652,4.18879,1.07751,
2.02834,4.23862,1.08305,
2.05045,4.28898,1.08875,
2.07283,4.33987,1.09465,
2.0955,4.3913,1.10072,
2.11846,4.44328,1.10699,
2.14171,4.49581,1.11345,
2.16525,4.54889,1.12011,
2.18909,4.60255,1.12697,
2.21322,4.65677,1.13404,
2.23766,4.71157,1.14132,
2.2624,4.76696,1.14882,
2.28744,4.82294,1.15654,
2.3128,4.87952,1.16449,
2.33846,4.93671,1.17267,
2.36445,4.99451,1.18109,
2.39075,5.05293,1.18975,
2.41737,5.11197,1.19866,
2.44431,5.17165,1.20782,
2.47159,5.23196,1.21724,
2.49919,5.29293,1.22692,
2.52713,5.35455,1.23688,
2.5554,5.41682,1.24711,
2.58402,5.47977,1.25763,
2.61298,5.5434,1.26844,
2.64228,5.6077,1.27954,
2.67193,5.6727,1.29094,
2.70194,5.73839,1.30266,
2.73231,5.80478,1.31469,
2.76303,5.87189,1.32704,
2.79412,5.93972,1.33973,
2.82558,6.00827,1.35275,
2.8574,6.07756,1.36612,
2.8896,6.14758,1.37985,
2.92218,6.21836,1.39393,
2.95515,6.28989,1.40838,
2.98849,6.36218,1.42322,
3.02223,6.43524,1.43843,
3.05636,6.50908,1.45405,
3.09089,6.5837,1.47006,
3.12581,6.65912,1.48649,
3.16115,6.73534,1.50334,
3.19689,6.81236,1.52063,
3.23304,6.8902,1.53835,
3.26962,6.96886,1.55652,
3.30661,7.04836,1.57516,
3.34403,7.12868,1.59426,
3.38187,7.20986,1.61385,
3.42015,7.29188,1.63393,
3.45887,7.37477,1.65451,
3.49803,7.45852,1.67561,
3.53763,7.54314,1.69723,
3.57769,7.62865,1.71939,
